MS46122B,,,,,,,,
!2401304/23192265,,,,,,,,
!5/13/2025.3:44:11.PM,,,,,,,,
!CHANNEL.2,,,,,,,,
!TR.MEASUREMENT,,,,,,,,
!RF.CORRECTION.OFF,,,,,,,,
!AVERAGING.OFF,,,,,,,,
!IF.BANDWIDTH: 1KHZ,,,,,,,,
!NUMBER.OF.TRACES: 4,,,,,,,,
!TRACE:       ,TRACE.1           ,TRACE.2           ,TRACE.3           ,TRACE.4           ,,,,
!PARAMETER:   ,S11               ,S12               ,S21               ,S22               ,,,,
!PORT:        ,PORT1             ,PORT2             ,PORT1             ,PORT2             ,,,,
!GRAPH:       ,LOGMAG            ,LOGMAG            ,LOGMAG            ,LOGMAG            ,,,,
!SMOOTHING:   ,OFF               ,OFF               ,OFF               ,OFF               ,,,,
!TIMEDOMAIN:  ,NOT.INSTALLED     ,NOT.INSTALLED     ,NOT.INSTALLED     ,NOT.INSTALLED     ,,,,
!SWEEPTYPE: FREQ.SWEEP(Linear),,,,,,,,
PNT,FREQ1.GHZ,LOGMAG1,FREQ2.GHZ,LOGMAG2,FREQ3.GHZ,LOGMAG3,FREQ4.GHZ,LOGMAG4
1,0.001,-2.04E-01,0.001,-1.07E+02,0.001,-1.14E+02,0.001,-2.12E-01
2,0.100995,-1.02E+00,0.100995,-1.10E+02,0.100995,-1.17E+02,0.100995,-1.03E+00
3,0.20099,-1.45E+00,0.20099,-1.07E+02,0.20099,-1.05E+02,0.20099,-1.39E+00
4,0.300985,-1.65E+00,0.300985,-8.80E+01,0.300985,-8.78E+01,0.300985,-1.65E+00
5,0.40098,-2.05E+00,0.40098,-7.43E+01,0.40098,-7.42E+01,0.40098,-1.92E+00
6,0.500975,-2.44E+00,0.500975,-5.06E+01,0.500975,-5.10E+01,0.500975,-2.35E+00
7,0.60097,-5.00E+00,0.60097,-3.37E+01,0.60097,-3.40E+01,0.60097,-4.38E+00
8,0.700965,-8.88E+00,0.700965,-3.20E+01,0.700965,-3.21E+01,0.700965,-6.90E+00
9,0.80096,-5.56E+00,0.80096,-4.13E+01,0.80096,-4.18E+01,0.80096,-5.54E+00
10,0.900955,-6.82E+00,0.900955,-3.23E+01,0.900955,-3.22E+01,0.900955,-5.48E+00
11,1.00095,-7.96E+00,1.00095,-3.08E+01,1.00095,-3.13E+01,1.00095,-6.60E+00
12,1.100945,-9.22E+00,1.100945,-3.09E+01,1.100945,-3.11E+01,1.100945,-8.15E+00
13,1.20094,-1.30E+01,1.20094,-2.99E+01,1.20094,-3.02E+01,1.20094,-1.13E+01
14,1.300935,-1.14E+01,1.300935,-2.63E+01,1.300935,-2.66E+01,1.300935,-1.22E+01
15,1.40093,-8.62E+00,1.40093,-3.05E+01,1.40093,-3.08E+01,1.40093,-1.00E+01
16,1.500925,-8.54E+00,1.500925,-2.80E+01,1.500925,-2.81E+01,1.500925,-9.22E+00
17,1.60092,-9.78E+00,1.60092,-3.05E+01,1.60092,-3.08E+01,1.60092,-9.90E+00
18,1.700915,-1.57E+01,1.700915,-3.65E+01,1.700915,-3.67E+01,1.700915,-1.73E+01
19,1.80091,-1.60E+01,1.80091,-3.02E+01,1.80091,-3.04E+01,1.80091,-2.04E+01
20,1.900905,-1.73E+01,1.900905,-3.24E+01,1.900905,-3.27E+01,1.900905,-1.89E+01
21,2.0009,-1.74E+01,2.0009,-2.97E+01,2.0009,-2.99E+01,2.0009,-2.06E+01
22,2.100895,-1.71E+01,2.100895,-3.28E+01,2.100895,-3.31E+01,2.100895,-1.83E+01
23,2.20089,-2.56E+01,2.20089,-3.35E+01,2.20089,-3.37E+01,2.20089,-1.98E+01
24,2.300885,-2.20E+01,2.300885,-2.87E+01,2.300885,-2.89E+01,2.300885,-2.17E+01
25,2.40088,-2.38E+01,2.40088,-3.24E+01,2.40088,-3.26E+01,2.40088,-5.03E+01
26,2.500875,-1.72E+01,2.500875,-3.02E+01,2.500875,-3.04E+01,2.500875,-1.99E+01
27,2.60087,-2.14E+01,2.60087,-3.21E+01,2.60087,-3.23E+01,2.60087,-1.89E+01
28,2.700865,-2.45E+01,2.700865,-3.36E+01,2.700865,-3.38E+01,2.700865,-1.96E+01
29,2.80086,-2.44E+01,2.80086,-3.35E+01,2.80086,-3.38E+01,2.80086,-2.29E+01
30,2.900855,-2.11E+01,2.900855,-3.30E+01,2.900855,-3.32E+01,2.900855,-2.66E+01
31,3.00085,-2.27E+01,3.00085,-3.28E+01,3.00085,-3.30E+01,3.00085,-2.95E+01
32,3.100845,-2.03E+01,3.100845,-3.36E+01,3.100845,-3.39E+01,3.100845,-1.94E+01
33,3.20084,-1.71E+01,3.20084,-3.57E+01,3.20084,-3.60E+01,3.20084,-1.68E+01
